Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
233;Рыцарь дня;8.1*;2010;США;боевик, комедия;Джеймс Мэнголд
234;Чудо на Гудзоне;8.1*;2016;США;драма, биография;Клинт Иствуд
235;До встречи с тобой;8.1*;2016;США;мелодрама;Теа Шэррок
236;Меч короля Артура;8.1*;2017;США;фэнтези, боевик;Гай Ричи
237;Лёд;8.1*;2017;Россия;мелодрама;Александр Андрющенко
238;Хоббит: Пустошь Смауга;8.1*;2013;США / Новая Зеландия;драма, фэнтези;Питер Джексон
239;Джуманджи: Зов джунглей;8.1*;2017;США;приключения, семейный;Джейк Кэздан
240;Девушка с татуировкой дракона;8.1*;2011;США;криминал, триллер;Дэвид Финчер
241;Гарри Поттер и узник Азкабана;8.1*;2004;США / Великобритания;приключения, семейный;Альфонсо Куарон
242;Посвященный;8.1*;2014;США;фантастика, драма;Филлип Нойс
243;Голубые горы, или Неправдоподобная история;8.1*;1984;СССР;комедия;Эльдар Шенгелая
244;Неудержимые;8.1*;2010;США;боевик;Сильвестр Сталлоне
245;Адмиралъ;8.1*;2008;Россия;драма, биография;Андрей Кравчук
246;Бурлеск;8.1*;2010;США;мелодрама, мюзикл;Стив Энтин
247;Принцесса Мононоке;8.1*;1997;Япония;аниме , сказка;Хаяо Миядзаки
248;Небоскреб;8.1*;2018;США;боевик;Роусон Маршалл Тербер
249;Добро пожаловать в Зомбилэнд;8.1*;2009;США;комедия, ужасы;Рубен Флейшер
250;Волк и теленок;8.1*;1984;СССР;семейный, анимация;Михаил Каменецкий
251;Отступники;8.1*;2006;США;криминал, драма;Мартин Скорсезе
252;Час пик;8.1*;1998;США;триллер, боевик;Бретт Рэтнер
253;Паранормальное явление 3;8.1*;2011;США;ужасы;Генри Джуст
254;Дэдпул 2;8.1*;2018;США;боевик, приключения;Дэвид Литч
255;Ральф против интернета;8.1*;2018;США;анимация, комедия;Фил Джонстон
256;Малена;8.1*;2000;Италия / США;военный, драма;Джузеппе Торнаторе
257;Команда А;8.1*;2010;США;боевик, триллер;Джо Карнахан
258;Валериан и город тысячи планет;8.1*;2017;Франция;фантастика, боевик;Люк Бессон
259;Зеркала;8.1*;2008;США;ужасы;Александр Ажа
260;Ежик в тумане;8.1*;1975;СССР;детский;Юрий Норштейн
261;Властелин Колец: Возвращение Короля;8.1*;2003;США / Новая Зеландия / Германия;фэнтези;Питер Джексон
262;100 вещей и ничего лишнего;8.1*;2018;Германия;комедия;Флориан Давид Фиц
263;Землетрясение;8.1*;2016;Россия;драма;Сарик Андреасян
264;Голубая бездна;8.1*;1988;Франция / США / Италия;драма, мелодрама;Люк Бессон
265;Ученик чародея;8.1*;2010;США;сказка, семейный;Джон Тертлтауб
266;Три метра над уровнем неба. Я тебя хочу;8.1*;2012;Испания;мелодрама, драма;Фернандо Гонзалез Молина
267;2012;8.1*;2009;США / Канада;драма;Роланд Эммерих
268;Доктор Сон;8.1*;2019;США;мистика, ужасы;Майк Флэнеган
269;Балерина;8.1*;2017;Франция / Канада;анимация, семейный;Эрик Саммер
270;Рэмпейдж;8.1*;2018;США;боевик, фантастика;Брэд Пейтон
271;Доспехи Бога 3: миссия Зодиак;8.1*;2012;Гонконг / Китай;боевик, приключения;Джеки Чан
272;Бамблби;8.1*;2018;США;фантастика, боевик;Трэвис Найт
273;Калашников;8.1*;2020;Россия;военный, исторический;Константин Буслов
274;Последний богатырь;8.1*;2017;Россия;семейный, комедия;Дмитрий Дьяченко
275;Список Шиндлера;8.1*;1993;США;исторический, военный;Стивен Спилберг
276;Девятые врата;8.1*;1999;Испания / Франция / США;мистика, ужасы;Роман Полански
277;Один вдох;8.1*;2020;Россия;спорт, драма;Елена Хазанова
278;Хоббит: Битва Пяти Воинств;8.1*;2014;США;фэнтези, приключения;Питер Джексон
279;Сказка сказок;8.1*;1979;СССР;анимация, короткометражный;Юрий Норштейн
280;Ученик чудовища;8.1*;2015;Япония;анимация, аниме;Мамору Хосода
281;Дом странных детей мисс Перегрин;8.1*;2016;США;фэнтези, приключения;Тим Бертон
282;Люди в черном 3;8.1*;2012;США;фантастика, приключения;Барри Зонненфельд
283;9 рота;8.1*;2005;Россия / Финляндия / Украина;драма, военный;Федор Бондарчук
284;Воды слонам!;8.1*;2011;США;драма;Френсис Лоуренс
285;Апгрейд;8.1*;2018;Австралия;фантастика, боевик;Ли Уоннелл
286;Три дня на побег;8.1*;2010;США;триллер, мелодрама;Пол Хаггис
287;Семь жизней;8.1*;2008;США;драма;Габриэле Муччино
288;Ангел А;8.1*;2005;Франция;мелодрама, комедия;Люк Бессон
289;Социальная сеть;8.1*;2010;США;исторический, драма;Дэвид Финчер
290;Слишком свободный человек;8.1*;2016;Россия;документальный;Вера Кричевская
291;Ледниковый период 4: Континентальный дрейф;8.1*;2012;США;комедия, анимация;Стив Мартино
292;Алеша Попович и Тугарин Змей;8.1*;2004;Россия;семейный, сказка;Константин Бронзит
293;Первый Мститель: Противостояние;8.1*;2016;США;боевик, фантастика;Энтони Руссо
294;Усатый нянь;8.1*;1977;СССР;комедия;Владимир Грамматиков
295;Шрэк навсегда;8.1*;2010;США;сказка, приключения;Майк Митчелл
296;Гадкий я 3;8.0*;2017;США;приключения, комедия;Пьер Коффин
297;Чужие;8.0*;1986;США / Великобритания;триллер, ужасы;Джеймс Кэмерон
298;Железный человек 3;8.0*;2013;США;фантастика, боевик;Шейн Блэк
299;Путь домой;8.0*;2019;США;приключения, семейный;Чарльз Мартин Смит
300;Район №9;8.0*;2009;США;фантастика;Нилл Бломкамп
301;Экипаж;8.0*;2012;США;драма;Роберт Земекис
302;Игры разумов;8.0*;2018;Ирландия;драма, детектив;Фарад Сафиниа
303;Звездная пыль;8.0*;2007;Великобритания / США;приключения, мелодрама;Мэттью Вон
304;Лицо со шрамом;8.0*;1983;США;драма, криминал;Брайан Де Пальма
305;Адреналин;8.0*;2006;Великобритания / США;драма, боевик;Марк Невелдайн
306;Час пик 2;8.0*;2001;США;триллер, комедия;Бретт Рэтнер
307;Оно приходит ночью;8.0*;2017;США;ужасы, триллер;Трей Эдвард Шульц
308;Мы - Миллеры;8.0*;2013;США;комедия;Роусон Маршалл Тербер
309;Легенды ночных стражей;8.0*;2010;США / Австралия;фэнтези, анимация;Зак Снайдер
310;Звездные Войны: Эпизод III - Месть ситхов;8.0*;2005;США;фантастика, приключения;Джордж Лукас
311;Реквием по мечте;8.0*;2000;США;драма, криминал;Даррен Аронофски
312;Крестный отец;8.0*;1972;США;драма, триллер;Фрэнсис Форд Коппола
313;Обливион;8.0*;2013;США;боевик, фантастика;Джозеф Косински
314;Василиса;8.0*;2014;Россия;мелодрама, исторический;Антон Сиверс
315;Терминал;8.0*;2004;США;мелодрама, драма;Стивен Спилберг
316;Индиана Джонс и последний крестовый Поход;8.0*;1989;США;фантастика, боевик;Стивен Спилберг
317;Вечное сияние чистого разума;8.0*;2004;США;драма, комедия;Мишель Гондри
318;Мумия;8.0*;1999;США;триллер, комедия;Стивен Соммерс
319;Каратэ-пацан;8.0*;2010;США;драма, семейный;Харольд Цварт
320;Мотылек;8.0*;2017;Сербия / Черногория / Мальта / США;драма, криминал;Михаэль Ноер
321;Гарри Поттер и Орден Феникса;8.0*;2007;Великобритания / США;сказка, семейный;Дэвид Йейтс
322;Тайная жизнь домашних животных 2;8.0*;2019;США;анимация, комедия;Крис Рено
323;Сумерки. Сага. Рассвет: Часть 2;8.0*;2012;США;мелодрама, фэнтези;Билл Кондон
324;Три билборда на границе Эббинга, Миссури;8.0*;2017;США / Великобритания;драма, триллер;Мартин МакДона
325;Спасти рядового Райана;8.0*;1998;США;боевик, военный;Стивен Спилберг
326;История игрушек: Большой побег;8.0*;2010;США;драма, приключения;Джон Лассетер
327;Стажер;8.0*;2015;США;комедия;Нэнси Мейерс
328;Трансформеры 3: Темная сторона Луны;8.0*;2011;США;приключения, боевик;Майкл Бэй
329;Укрась прощальное утро цветами обещания;8.0*;2018;Япония;анимация, драма;Мари Окада
330;1917;8.0*;2019;Великобритания / США;военный, драма;Сэм Мендес
331;Ледниковый период 2: Глобальное потепление;8.0*;2006;США;комедия, семейный;Карлос Салдана
332;Кома;8.0*;2019;Россия;фантастика, боевик;Никита Аргунов
333;Исходный код;8.0*;2011;США / Франция;драма, фантастика;Дункан Джонс
334;Тайна третьей планеты;8.0*;1981;СССР;анимация, приключения;Роман Качанов
335;Фердинанд;8.0*;2017;США;анимация;Карлос Салдана
336;Паранормальное явление 2;8.0*;2010;США;ужасы;Тод Уильямс
337;За бортом;8.0*;2018;США;мелодрама, комедия;Боб Фишер
338;Монстры на каникулах 3: Море зовет;8.0*;2018;США;анимация, семейный;Генндий Тартаковский
339;Кот в сапогах;8.0*;2011;США;фэнтези, комедия;Крис Миллер
340;Семейка Крудс;8.0*;2013;США;анимация, комедия;Керк Де Микко
341;Обещание;8.0*;2016;США;драма, исторический;Терри Джордж
342;Погребенный заживо;8.0*;2010;Испания;криминал, триллер;Родриго Кортес
343;Поймай меня, если сможешь;8.0*;2002;США;комедия;Стивен Спилберг
344;Доспехи Бога;8.0*;1987;Гонконг / Югославия;приключения, боевик;Джеки Чан
345;Одиннадцать друзей Оушена;8.0*;2001;США / Австралия;криминал, триллер;Стивен Содерберг
346;Мулан;8.0*;1998;США;семейный, анимация;Тони Бэнкрофт
347;Дело Ричарда Джуэлла;8.0*;2019;США;драма;Клинт Иствуд
348;Поворот не туда;8.0*;2003;США;триллер, ужасы;Роб Шмидт
349;Обитель проклятых;8.0*;2014;США;триллер;Брэд Андерсон
350;Гарри Поттер и Тайная Комната;8.0*;2002;США / Великобритания / Германия;мистика, приключения;Крис Коламбус
351;Динозавр;8.0*;2000;США;семейный, приключения;Эрик Лейтон
352;Бункер;8.0*;2011;Испания / Колумбия;триллер;Андрес Баиз
353;Земля: Один потрясающий день;8.0*;2017;Великобритания;документальный, семейный;Ричард Дэйл
354;Рапунцель навсегда;8.0*;2012;США;детский, анимация;Натан Грино
355;Куб;8.0*;1997;Канада;мистика, фантастика;Винченцо Натали
356;Знаешь, мама, где я был?;8.0*;2018;Россия;анимация, документальный;Лео Габриадзе
357;Мэри Поппинс;8.0*;1964;США;сказка, комедия;Роберт Стивенсон
358;Мальчишник в Вегасе;8.0*;2009;США;комедия;Тодд Филлипс
359;На крючке;8.0*;2008;США;драма, триллер;Ди Джей Карузо
360;Балканский рубеж;8.0*;2019;Россия / Сербия;боевик, драма;Андрей Волгин
361;Мегамозг;8.0*;2010;США;комедия, семейный;Том МакГард
362;Крестный отец 2;8.0*;1974;США;триллер, драма;Фрэнсис Форд Коппола
363;Шрэк 2;8.0*;2004;США;сказка, комедия;Эндрю Адамсон
364;Гадкий я;8.0*;2010;США;семейный, анимация;Пьер Коффин
365;Турецкий гамбит;8.0*;2005;Россия;криминал, исторический;Джаник Файзиев
366;Железный человек 2;8.0*;2010;США;фантастика, боевик;Джон Фавро
367;Одаренная;8.0*;2017;США;драма;Марк Уэбб
368;Выживший;8.0*;2015;США;приключения, драма;Алехандро Гонсалес Иньярриту
369;Сайлент Хилл;8.0*;2006;Канада / Франция;ужасы, триллер;Кристоф Ган
370;Поезд в Пусан;8.0*;2016;Корея;ужасы, боевик;Ен Сан-хо
371;Правдивая ложь;8.0*;1994;США;боевик, комедия;Джеймс Кэмерон
372;Смешарики. Начало;8.0*;2011;Россия;анимация, детский;Денис Чернов
373;Пророк;8.0*;2007;США;фантастика, триллер;Ли Тамахори
374;Восстание планеты обезьян;8.0*;2011;США;фантастика, боевик;Руперт Уайатт
375;Алиса в Зазеркалье;8.0*;2016;США;семейный, приключения;Джеймс Бобин
376;Моана;8.0*;2016;США;анимация;Джон Маскер
377;С любовью, Рози;8.0*;2014;Великобритания / США;комедия, мелодрама;Кристиан Диттер
378;Кролик Питер;8.0*;2018;США;анимация, семейный;Уилл Глак
379;Дьявол;8.0*;2010;США;ужасы, триллер;Дрю Даудл
380;Ральф;8.0*;2012;США;анимация;Рич Мур
381;Ультиматум Борна;8.0*;2007;США;приключения, триллер;Пол Гринграсс
382;Я плюю на ваши могилы;8.0*;2010;США;ужасы;Стивен Р. Монро
383;Мир Юрского периода 2;7.9*;2018;США;фантастика, боевик;Хуан Антонио Байона
384;Интерстеллар;7.9*;2014;США / Великобритания;фантастика;Кристофер Нолан
385;Казино Рояль;7.9*;2006;США / Германия / Великобритания / Чехия;приключения, боевик;Мартин Кэмпбелл
386;Отличница легкого поведения;7.9*;2010;США;комедия, мелодрама;Уилл Глак
387;Angry Birds 2 в кино;7.9*;2019;США;анимация, детский;Туроп Ван Орман
388;Полицейский с Рублевки. Новогодний беспредел;7.9*;2018;Россия;комедия, драма;Илья Куликов
389;Ранго;7.9*;2011;США;семейный, приключения;Гор Вербински
390;Эффект бабочки;7.9*;2004;США;драма, триллер;Эрик Бресс
391;Скала;7.9*;1996;США;боевик, приключения;Майкл Бэй
392;В стране невыученных уроков;7.9*;1969;СССР;семейный, анимация;Юрий Прытков
393;Брюс Всемогущий;7.9*;2003;США;сказка, комедия;Том Шэдьяк
394;Джон Уик 2;7.9*;2016;США;боевик;Чад Стахелски
395;Последний самурай;7.9*;2003;США;приключения, боевик;Эдвард Цвик
396;Чужой 3;7.9*;1992;США;триллер, драма;Дэвид Финчер
397;Шерлок: Безобразная невеста;7.9*;2016;Великобритания;сериал, детектив;Дуглас Маккиннон
398;Город героев;7.9*;2014;США;комедия, боевик;Дон Холл
399;Аладдин;7.9*;1992;США;сказка, мюзикл;Джон Маскер
400;Быстрый и мертвый;7.9*;1995;США / Япония;вестерн;Сэм Рэйми
401;Призрак;7.9*;2010;США;криминал, драма;Роман Полански
402;Ёлки;7.9*;2010;Россия;комедия;Ярослав Чеважевский
403;Терминатор: да придет спаситель;7.9*;2009;США / Германия / Великобритания;триллер, фантастика;МакДжи
404;Каникулы строгого режима;7.9*;2009;Россия;комедия, криминал;Игорь Зайцев
405;Гринч;7.9*;2018;США;анимация;Ярроу Чейни
406;Хроники Нарнии: Покоритель зари;7.9*;2010;Великобритания;приключения;Майкл Эптид
407;Вкус жизни;7.9*;2007;США / Австралия;мелодрама, драма;Скотт Хикс
408;Раз, два - горе не беда;7.9*;1988;СССР;сказка, семейный;Михаил Юзовский
409;Суини Тодд, демон-парикмахер с Флит-стрит;7.9*;2007;США;мюзикл, ужасы;Тим Бертон
410;Дом восковых фигур;7.9*;2005;Австралия / США;ужасы, триллер;Хауме Кольет-Серра
411;Форсаж: Хоббс и Шоу;7.9*;2019;США;боевик, криминал;Дэвид Литч
412;Рождественская история;7.9*;2009;США;драма, фэнтези;Роберт Земекис
413;Элвин и бурундуки 2;7.9*;2009;США;фантастика, комедия;Бетти Томас
414;Время ведьм;7.9*;2010;США;приключения, фэнтези;Доминик Сена
415;Крид 2;7.9*;2018;США;спорт, драма;Стивен Кейпл мл.
416;Путешествие 2: Таинственный остров;7.9*;2011;США;фантастика, приключения;Брэд Пейтон
417;Большой сон;7.9*;1946;США;нуар, детектив;Ховард Хоукс
418;Стражи Галактики;7.9*;2014;США;фантастика, боевик;Джеймс Ганн
419;Пункт назначения;7.9*;2000;США;фантастика, ужасы;Джеймс Вонг
420;Форсаж 4;7.9*;2009;США;боевик;Джастин Лин
421;История Рыцаря;7.9*;2001;США;приключения, комедия;Брайан Хелджленд
422;Неизвестный;7.9*;2011;США;драма, криминал;Хауме Кольет-Серра
423;Секретарша;7.9*;2002;США;комедия, мелодрама;Стивен Шейнберг
424;Черная Пантера;7.9*;2018;США;драма, боевик;Райан Куглер
425;Звездные собаки: Белка и Стрелка;7.9*;2009;Россия;детский, анимация;Святослав Ушаков
426;Джон Картер;7.9*;2012;США;приключения, фантастика;Эндрю Стэнтон
427;Безумный Макс: Дорога ярости;7.9*;2015;Австралия;приключения, боевик;Джордж Миллер
428;Робин Гуд;7.9*;2010;США;боевик, драма;Ридли Скотт
429;Мост Ватерлоо;7.9*;1940;США;военный, мелодрама;Мервин Ле Рой
430;Элвин и бурундуки 3;7.9*;2011;США;семейный, мюзикл;Майк Митчел
431;Пипец;7.9*;2009;США;боевик, драма;Мэттью Вон
432;Охотники за привидениями;7.9*;1984;США;комедия, фантастика;Айвэн Райтман
433;Форсаж 8;7.9*;2017;США;боевик, триллер;Ф. Гэри Грей
434;Мег: Монстр глубины;7.9*;2018;США;ужасы, фантастика;Джон Тертелтауб
435;Опасная игра Слоун;7.9*;2016;США;драма;Джон Мэдден
436;Три богатыря и наследница престола;7.9*;2018;Россия;анимация, приключения;Константин Бронзит
437;Отряд самоубийц;7.9*;2016;США;боевик, фантастика;Дэвид Эйр 
438;Пила 6;7.9*;2009;США / Канада / Великобритания / Австралия;триллер, мистика;Кевин Гретерт
439;История игрушек 4;7.9*;2019;США;комедия, фэнтези;Джош Кули
440;Шоколад;7.9*;2000;Великобритания / США;драма, комедия;Лассе Халльстрем
441;Невидимый гость;7.9*;2017;Испания;криминал, триллер;Ориол Паоло
442;Человек-муравей и Оса;7.9*;2018;США;фантастика, боевик;Пейтон Рид
443;Ледокол;7.9*;2016;Россия;драма;Николай Хомерики
444;2+1;7.9*;2016;Франция;комедия, семейный;Хьюго Желен
445;Хрустальное небо вчерашнего дня;7.9*;2018;Китай;анимация;Си Чао
446;Форсаж 6;7.9*;2013;США;боевик, драма;Джастин Лин
447;Терминатор;7.9*;1984;Великобритания / США;триллер, фантастика;Джеймс Кэмерон
448;Патриот;7.9*;2000;Германия / США;драма, военный;Роланд Эммерих
449;Двойная жизнь Чарли Сан-Клауда;7.9*;2010;США;драма;Барр Стирс
450;Экипаж;7.9*;2016;Россия;драма, приключения;Николай Лебедев
451;Храбрая сердцем;7.9*;2012;США;семейный, анимация;Марк Эндрюс
452;Я, робот;7.9*;2004;США;фантастика, приключения;Алекс Пройас
453;Кровавый алмаз;7.9*;2006;США;триллер, драма;Эдвард Цвик
454;Тарзан;7.9*;1999;США;;Крис Бак
455;Романтики 303;7.9*;2018;Германия;комедия, мелодрама;Ханс Вайнгартнер
456;Темный рыцарь: Возрождение легенды;7.9*;2012;США / Великобритания;драма, триллер;Кристофер Нолан
457;Фантастические твари и где они обитают;7.9*;2016;Великобритания / США;семейный, фэнтези;Дэвид Йейтс
458;Приключения Паддингтона 2;7.9*;2017;Великобритания / Франция;фэнтези, семейный;Пол Кинг
459;Агенты А.Н.К.Л.;7.9*;2015;США;комедия, приключения;Гай Ричи
460;Ёлки 2;7.9*;2011;Россия;комедия;Дмитрий Киселев
461;Теория хаоса;7.9*;2007;США;мелодрама, комедия;Маркос Сига
462;Потерянное звено;7.9*;2018;США / Канада;анимация;Крис Батлер
463;Сибирский цирюльник;7.9*;1998;Россия / Франция / Италия / Чехия;исторический, драма;Никита Михалков
464;Царство небесное;7.9*;2005;Испания / США;мелодрама, военный;Ридли Скотт
465;Илья Муромец и Соловей Разбойник;7.9*;2007;Россия;приключения, комедия;Владимир Торопчин
466;Капитан Марвел;7.9*;2019;США;приключения, фэнтези;Анна Боден
467;Пингвины мистера Поппера;7.9*;2011;США;комедия;Марк Уотерс
468;Гномео и Джульетта;7.9*;2011;США / Великобритания;фэнтези, анимация;Келли Эсбери
469;Смех и горе у Бела моря;7.9*;1987;СССР;семейный, комедия;Леонид Носырев
470;Красавчик;7.9*;2007;Германия;мелодрама, комедия;Тиль Швайгер
471;Смертельная битва;7.9*;1995;США;боевик, фэнтези;Пол У. С. Андерсон
472;Во власти стихии;7.9*;2018;США;драма;Бальтасар Кормакур
473;Человек дождя;7.9*;1988;США;драма;Барри Левинсон
474;Синистер 2;7.8*;2015;США;ужасы;Киаран Фой
475;Маяк;7.8*;2019;США;ужасы, фэнтези;Роберт Эггерс
476;Однажды в Вегасе;7.8*;2008;США;комедия;Том Вон
477;Отпуск по обмену;7.8*;2006;США;мелодрама, комедия;Нэнси Мейерс
478;Другие;7.8*;2001;Испания / Франция / США;ужасы, фантастика;Алехандро Аменабар
479;Тор;7.8*;2011;США;боевик, приключения;Кеннет Брана
480;Расплата;7.8*;2016;США;драма;Гэвин О'Коннор
481;Вспомнить все;7.8*;1990;США;приключения, ужасы;Пол Верховен
482;Оно;7.8*;2017;США;ужасы, триллер;Андрес Мускетти
483;Облачный атлас;7.8*;2012;США;фантастика;Том Тыквер
484;Астерикс и тайное зелье;7.8*;2018;Франция;анимация;Луис Клиши
485;Прекрасная эпоха;7.8*;2019;Франция;комедия, драма;Николя Бедос
486;Арахисовый сокол;7.8*;2019;США;приключения;Тайлер Нилсон
487;Турист;7.8*;2010;США;драма, триллер;Флориан Хенкель фон Доннерсмарк
488;Обитель зла: Последняя глава;7.8*;2016;Германия / Австралия / Канада / Франция;триллер, боевик;Пол У. С. Андерсон
489;Сладкий ноябрь;7.8*;2001;США;комедия, драма;Пэт О'Коннор
490;Любовь в большом городе 2;7.8*;2010;Россия;комедия;Марюс Вайсберг
491;Парфюмер: история одного убийцы;7.8*;2006;Германия / Франция / Испания / США;триллер, драма;Том Тыквер
492;Другой мир;7.8*;2003;США / Германия / Венгрия / Великобритания;сказка, боевик;Лен Уайзман
493;Придурки из Хаззарда;7.8*;2005;США / Австралия;комедия, приключения;Джэй Чэндрасекар
494;Печки-лавочки;7.8*;1972;СССР;комедия;Василий Шукшин
495;Эпоха танцев;7.8*;2017;Россия / Латвия;документальный;Виктор Буда
496;Микеланджело. Бесконечность;7.8*;2019;Италия / Ватикан;документальный;Эмануэле Имбуччи
497;Чтец;7.8*;2008;США / Германия;мелодрама, исторический;Стивен Долдри
498;Хранители снов;7.8*;2012;США;семейный, анимация;Питер Рэмси
499;Бойфренд из будущего;7.8*;2013;Великобритания;фантастика, комедия;Ричард Кертис
500;Меняющие реальность;7.8*;2010;США;фантастика, мелодрама;Джордж Нолфи
501;Я - Четвертый;7.8*;2011;США;фантастика, боевик;Ди Джей Карузо
502;Мгла;7.8*;2007;США;ужасы;Фрэнк Дарабонт
503;Пила 3;7.8*;2006;США;триллер, криминал;Даррен Линн Боусман
504;Великий уравнитель 2;7.8*;2018;США;боевик, криминал;Антуан Фукуа
505;Спирит: Душа прерий;7.8*;2002;США;вестерн, анимация;Келли Эсбери
506;Морис Ришар;7.8*;2005;Канада;драма, биография;Чарльз Бинами
507;Армагеддон;7.8*;1998;США;триллер, драма;Майкл Бэй
508;План побега;7.8*;2013;США;триллер, боевик;Микаэль Хофстрем
509;В погоне за счастьем;7.8*;2006;США;комедия, драма;Габриэле Муччино
510;Аритмия;7.8*;2017;Россия;драма, мелодрама;Борис Хлебников
511;М+Ж;7.8*;2009;Россия;комедия, мелодрама;Игорь Андрейчук
512;"007: Координаты ""Скайфолл""";7.8*;2012;США / Великобритания;приключения, боевик;Сэм Мендес
513;Схватка;7.8*;1995;США;драма, криминал;Майкл Манн
514;Ветер крепчает;7.8*;2013;Япония;драма, анимация;Хаяо Миядзаки
515;Банды Нью-Йорка;7.8*;2002;США / Германия / Италия / Великобритания / Нидерланды;драма, исторический;Мартин Скорсезе
516;Пять вечеров;7.8*;1979;СССР;мелодрама, драма;Никита Михалков
517;Вероника не придет;7.8*;2008;Россия;драма;Элина Суни
518;Деревня Утка;7.8*;1976;СССР;семейный;Борис Бунеев
519;Имя розы;7.8*;1986;Франция / Италия / Германия;триллер, криминал;Жан-Жак Анно
520;Убеждение;7.8*;2010;США;биография, драма;Тони Голдуин
521;Клуб любителей книг и пирогов из картофельных очистков;7.8*;2018;США;драма, мелодрама;Майк Ньюэлл
522;Середина 90-х;7.8*;2018;США;драма, комедия;Джона Хилл
523;Джон Уик;7.8*;2014;США;боевик, триллер;Дэвид Литч
524;Артист;7.8*;2011;Франция;мелодрама;Мишель Азанависьюс
525;Сумерки. Сага. Затмение;7.8*;2010;США;мелодрама, фэнтези;Дэвид Слэйд
526;Д'Артаньян и три мушкетёра;7.8*;1978;СССР;мюзикл, приключения;Георгий Юнгвальд-Хилькевич
527;Полночь в Париже;7.8*;2011;США;комедия, мелодрама;Вуди Аллен
528;Семейка Аддамс;7.8*;2019;США;анимация, фэнтези;Грег Тирнан
529;Из Парижа с любовью;7.8*;2009;Франция;боевик;Пьер Морель
530;Простая просьба;7.8*;2018;США;триллер, криминал;Пол Фиг
531;Пять невест;7.8*;2011;Россия;комедия;Карен Оганесян
532;Тор 2: Царство тьмы;7.8*;2013;США;приключения, боевик;Алан Тейлор
533;Мачете;7.8*;2010;США;боевик, криминал;Роберт Родригес
534;Мост в Терабитию;7.8*;2007;США;фэнтези, семейный;Габор Чупо
535;Дориан Грей;7.8*;2009;Великобритания;драма;Оливер Паркер
536;Океаны;7.8*;2009;Франция / Швейцария / Испания / Монако;драма, документальный;Жак Перрен
537;Лев Яшин. Вратарь моей мечты;7.8*;2019;Россия;биография, спорт;Василий Чигинский
538;Охота на пиранью;7.8*;2006;Россия;триллер, криминал;Андрей Кавун
539;Знакомьтесь, Джо Блэк;7.8*;1998;США;мелодрама, мистика;Мартин Брест
540;Взрыв из прошлого;7.8*;1999;США;мелодрама, комедия;Хью Уилсон
541;Белый плен;7.8*;2005;США;приключения, семейный;Фрэнк Маршалл
542;Воровка книг;7.8*;2014;США;драма;Брайан Персивал
543;Онегин;7.8*;1998;США / Великобритания;драма;Марта Файнс
544;Берсерк: Золотой век. Фильм II. Битва за Долдрей;7.8*;2012;Япония;анимация, драма;Тошиюки Кабука
545;Тюряга;7.8*;1989;США;триллер, боевик;Джон Флинн
546;Голодные игры: И вспыхнет пламя;7.8*;2013;США;боевик, фантастика;Френсис Лоуренс
547;Послезавтра;7.8*;2004;США;триллер, боевик;Роланд Эммерих
548;Шаг вперед 3;7.8*;2010;США;мюзикл, драма;Джон Чу
549;А зори здесь тихие...;7.8*;2015;Россия;военный, драма;Ренат Давлетьяров
550;Хочу как ты;7.8*;2011;США;комедия;Дэвид Добкин
551;Тайное окно;7.8*;2004;США;ужасы, триллер;Дэвид Копп
552;Родня;7.8*;1981;СССР;комедия, семейный;Никита Михалков
553;Игра их жизни;7.8*;2005;США;спорт, драма;Дэвид Анспо
554;Синяя бездна 2;7.8*;2019;Великобритания;приключения, триллер;Йоханнес Робертс
555;9;7.8*;2009;США;анимация, военный;Шэйн Эккер
556;Идеальные незнакомцы;7.8*;2016;Италия;драма, комедия;Паоло Дженовезе
557;Мстители: Эра Альтрона;7.8*;2015;США;боевик, приключения;Джосс Уидон
558;Марсианин;7.8*;2015;США;фантастика, приключения;Ридли Скотт
559;Американская история Х;7.8*;1998;США;криминал, драма;Тони Кэй
560;Годзилла;7.8*;1998;США / Япония;боевик, фантастика;Роланд Эммерих
561;Падение Лондона;7.8*;2015;США / Великобритания;криминал, боевик;Бабак Наджафи
562;Синистер;7.8*;2012;США;криминал, ужасы;Скотт Дерриксон
563;Поддубный;7.8*;2013;Россия;драма, исторический;Глеб Орлов
564;Высоцкий. Спасибо, что живой;7.8*;2011;Россия;биография, драма;Петр Буслов
565;Дурак;7.8*;2014;Россия;драма;Юрий Быков
566;Кто я;7.8*;2014;Германия;триллер;Баран бо Одар
567;Тачки 3;7.8*;2017;США;детский, анимация;Брайан Фи
568;28 недель спустя;7.8*;2007;Великобритания;фантастика, триллер;Хуан Карлос Фреснадильо
569;Больше чем секс;7.8*;2011;США;мелодрама, комедия;Айвэн Райтман
570;Луна 2112;7.8*;2009;Великобритания;триллер, фантастика;Дункан Джонс
571;Секс по дружбе;7.8*;2011;США;комедия;Уилл Глак
572;Другой мир: Пробуждение;7.8*;2012;США;фантастика, ужасы;Манс Морлинд
573;Хорошая девочка;7.8*;2002;США / Германия / Нидерланды;драма, комедия;Мигель Артета
574;Всё путём;7.8*;2009;США / Италия;приключения, драма;Кирк Джонс
575;Семьянин;7.8*;2000;США;комедия, мелодрама;Бретт Рэтнер
576;Как прогулять школу с пользой;7.8*;2018;Франция;семейный, приключения;Николя Ванье
