Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
983;Живое;7.6*;2017;США;фантастика, триллер;Даниэль Эспиноса
984;Отмель;7.6*;2016;США;триллер, драма;Хауме Кольет-Серра
985;Коко до Шанель;7.6*;2008;Франция;биография;Энн Фонтейн
986;Кинг Конг;7.6*;2005;США;драма, фантастика;Питер Джексон
987;Приключения Паддингтона;7.6*;2014;Великобритания / Франция / США / Канада;семейный, комедия;Пол Кинг
988;Возвращение;7.6*;2003;Россия;драма;Андрей Звягинцев
989;Сердцеед;7.6*;2010;Франция / Монако;комедия;Паскаль Шомель
990;"Код доступа ""Кейптаун""";7.6*;2012;США;триллер, ужасы;Даниэль Эспиноса
991;Идальго: Погоня в пустыне;7.6*;2004;США;вестерн, драма;Джо Джонстон
992;Человек-Слон;7.6*;1980;США / Великобритания;драма;Дэвид Линч
993;Матч пойнт;7.6*;2005;Великобритания / США / Люксембург;триллер, драма;Вуди Аллен
994;Горькая луна;7.6*;1992;Франция / Великобритания;драма;Роман Полански
995;Школьный вальс;7.6*;1977;СССР;мелодрама;Павел Любимов
996;Бравый солдат Швейк;7.6*;1956;Чехословакия;драма, комедия;Карел Стеклы
997;Дети Хуан Ши;7.6*;2008;Австралия / Китай / Германия;исторический, драма;Роджер Споттисвуд
998;Спасатели;7.6*;1977;США;драма, сказка;Джон Лоунсбери
999;Ходорковский;7.6*;2011;Германия;документальный, драма;Кирилл Туши
1000;Ох уж эта Настя!;7.6*;1972;СССР;семейный;Юрий Победоносцев
